# x target ann error abs_error
-1.00000000e+00 3.53226908e-01 3.57741863e-01 4.51495470e-03 4.51495470e-03
-9.48717949e-01 3.48779907e-01 3.47824786e-01 -9.55121121e-04 9.55121121e-04
-8.97435897e-01 3.12645361e-01 3.09970294e-01 -2.67506646e-03 2.67506646e-03
-8.46153846e-01 2.42145363e-01 2.40522936e-01 -1.62242720e-03 1.62242720e-03
-7.94871795e-01 1.37681696e-01 1.38193355e-01 5.11658334e-04 5.11658334e-04
-7.43589744e-01 3.19830201e-03 5.20397271e-03 2.00567069e-03 2.00567069e-03
-6.92307692e-01 -1.53708435e-01 -1.51789904e-01 1.91853093e-03 1.91853093e-03
-6.41025641e-01 -3.22096698e-01 -3.21582185e-01 5.14512796e-04 5.14512796e-04
-5.89743590e-01 -4.88421126e-01 -4.89462604e-01 -1.04147807e-03 1.04147807e-03
-5.38461538e-01 -6.37670951e-01 -6.39241492e-01 -1.57054090e-03 1.57054090e-03
-4.87179487e-01 -7.54808262e-01 -7.55550491e-01 -7.42229871e-04 7.42229871e-04
-4.35897436e-01 -8.26360017e-01 -8.25639872e-01 7.20145210e-04 7.20145210e-04
-3.84615385e-01 -8.41982533e-01 -8.40340045e-01 1.64248843e-03 1.64248843e-03
-3.33333333e-01 -7.95804379e-01 -7.94472023e-01 1.33235614e-03 1.33235614e-03
-2.82051282e-01 -6.87366704e-01 -6.87265106e-01 1.01598551e-04 1.01598551e-04
-2.30769231e-01 -5.22019069e-01 -5.23043384e-01 -1.02431503e-03 1.02431503e-03
-1.79487179e-01 -3.10690045e-01 -3.11843572e-01 -1.15352692e-03 1.15352692e-03
-1.28205128e-01 -6.90276459e-02 -6.92617181e-02 -2.34072179e-04 2.34072179e-04
-7.69230769e-02 1.84015121e-01 1.84957957e-01 9.42835913e-04 9.42835913e-04
-2.56410256e-02 4.28000937e-01 4.29418429e-01 1.41749214e-03 1.41749214e-03
2.56410256e-02 6.43030729e-01 6.43873162e-01 8.42432326e-04 8.42432326e-04
7.69230769e-02 8.11734081e-01 8.11469145e-01 -2.64935415e-04 2.64935415e-04
1.28205128e-01 9.20994568e-01 9.20017098e-01 -9.77469768e-04 9.77469768e-04
1.79487179e-01 9.63209258e-01 9.62485576e-01 -7.23682434e-04 7.23682434e-04
2.30769231e-01 9.36940276e-01 9.37200348e-01 2.60071417e-04 2.60071417e-04
2.82051282e-01 8.46893386e-01 8.48028268e-01 1.13488266e-03 1.13488266e-03
3.33333333e-01 7.03242820e-01 7.04387322e-01 1.14450233e-03 1.14450233e-03
3.84615385e-01 5.20401398e-01 5.20649068e-01 2.47670230e-04 2.47670230e-04
4.35897436e-01 3.15399256e-01 3.14600012e-01 -7.99244328e-04 7.99244328e-04
4.87179487e-01 1.06075053e-01 1.05048779e-01 -1.02627438e-03 1.02627438e-03
5.38461538e-01 -9.07043146e-02 -9.08136426e-02 -1.09328037e-04 1.09328037e-04
5.89743590e-01 -2.60595874e-01 -2.59389525e-01 1.20634899e-03 1.20634899e-03
6.41025641e-01 -3.92946083e-01 -3.91319542e-01 1.62654097e-03 1.62654097e-03
6.92307692e-01 -4.81469749e-01 -4.80958956e-01 5.10792745e-04 5.10792745e-04
7.43589744e-01 -5.24409219e-01 -5.25689321e-01 -1.28010228e-03 1.28010228e-03
7.94871795e-01 -5.24206079e-01 -5.26081040e-01 -1.87496157e-03 1.87496157e-03
8.46153846e-01 -4.86772776e-01 -4.86893638e-01 -1.20861428e-04 1.20861428e-04
8.97435897e-01 -4.20490145e-01 -4.17722497e-01 2.76764803e-03 2.76764803e-03
9.48717949e-01 -3.35075256e-01 -3.31971778e-01 3.10347781e-03 3.10347781e-03
1.00000000e+00 -2.40462050e-01 -2.43983229e-01 -3.52117907e-03 3.52117907e-03
